respID,qID,altID,obsID,profileID,monthlyRent,location,distanceToMetro,squareFootage,fitnessCenter,twentyFourSevenConcierge,parking,communitySpace,utilitiesIncludedInRent,image
4,2,3,26,1027,1500,1,5,700,Yes,Yes,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
4,3,1,27,1933,1500,5,10,700,No,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
4,3,2,27,1171,1500,1,10,600,Yes,No,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
4,3,3,27,2110,1500,3,5,500,Yes,No,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
4,4,1,28,1544,2000,3,5,500,No,No,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
4,4,2,28,2049,2500,3,15,500,No,Yes,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
4,4,3,28,1357,1500,5,5,700,Yes,Yes,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
4,5,1,29,776,2000,1,15,600,No,Yes,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
4,5,2,29,1635,2500,3,10,500,Yes,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
4,5,3,29,2119,1500,3,10,500,Yes,No,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
4,6,1,30,1498,1500,3,10,600,Yes,No,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
4,6,2,30,1686,2500,1,10,700,Yes,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
4,6,3,30,1974,2500,1,5,600,Yes,Yes,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
4,7,1,31,71,2000,5,10,700,Yes,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
4,7,2,31,1086,2500,3,5,600,No,Yes,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
4,7,3,31,2132,2000,5,15,500,Yes,No,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
4,8,1,32,1740,2500,1,10,600,No,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
4,8,2,32,2491,1500,5,5,700,Yes,No,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
4,8,3,32,2018,2000,1,15,700,Yes,Yes,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
5,1,1,33,836,2000,5,15,500,Yes,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
5,1,2,33,963,2500,5,10,700,No,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
5,1,3,33,1036,1500,1,10,700,Yes,Yes,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
5,2,1,34,2291,2000,3,15,500,Yes,Yes,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
5,2,2,34,1864,1500,1,5,500,No,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
5,2,3,34,699,2500,3,15,600,Yes,Yes,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
5,3,1,35,707,2000,3,5,700,Yes,Yes,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
5,3,2,35,1,1500,1,5,500,Yes,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
5,3,3,35,1633,1500,3,10,500,Yes,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
5,4,1,36,1260,2500,5,10,600,No,No,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
5,4,2,36,1377,2500,5,15,700,Yes,Yes,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
5,4,3,36,471,2500,1,10,700,No,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
5,5,1,37,689,2000,3,10,600,Yes,Yes,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
5,5,2,37,2509,1500,5,15,700,Yes,No,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
5,5,3,37,2355,2500,3,5,500,No,Yes,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
5,6,1,38,1263,2500,1,15,600,No,No,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
5,6,2,38,2463,2500,3,5,600,Yes,No,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
5,6,3,38,2386,1500,1,10,600,No,Yes,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
5,7,1,39,1451,2000,1,15,700,No,Yes,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
5,7,2,39,394,1500,5,10,700,Yes,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
5,7,3,39,1555,1500,5,10,500,No,No,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
5,8,1,40,749,2000,1,15,500,No,Yes,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
5,8,2,40,2512,1500,1,5,500,No,No,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
5,8,3,40,75,2500,1,15,700,Yes,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
6,1,1,41,1842,2500,3,5,700,Yes,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
6,1,2,41,742,1500,3,10,500,No,Yes,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
6,1,3,41,986,2000,3,10,500,Yes,Yes,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
6,2,1,42,1397,2000,1,15,500,No,Yes,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
6,2,2,42,610,1500,5,10,600,No,No,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
6,2,3,42,1636,1500,5,10,500,Yes,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
6,3,1,43,2211,2500,3,15,500,No,No,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
6,3,2,43,420,2500,3,10,500,No,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
6,3,3,43,1482,2500,3,15,500,Yes,No,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
6,4,1,44,1463,2000,3,5,500,Yes,No,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
6,4,2,44,82,1500,1,5,500,No,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
6,4,3,44,411,2500,3,5,500,No,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
6,5,1,45,129,2500,1,15,600,No,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
6,5,2,45,2172,2500,1,10,700,Yes,No,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
6,5,3,45,2561,2000,3,15,600,No,No,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
6,6,1,46,1583,2000,5,10,600,No,No,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
6,6,2,46,1027,1500,1,5,700,Yes,Yes,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
6,6,3,46,1441,1500,1,10,700,No,Yes,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
6,7,1,47,1254,2500,1,10,600,No,No,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
6,7,2,47,2099,2000,1,15,700,No,Yes,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
6,7,3,47,855,2500,5,10,600,Yes,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
6,8,1,48,1223,2000,5,5,500,No,No,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
6,8,2,48,913,1500,3,15,500,No,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
6,8,3,48,1632,2500,1,10,500,Yes,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
7,1,1,49,260,2000,5,10,500,No,No,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
7,1,2,49,360,2500,5,5,600,Yes,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
7,1,3,49,2359,1500,1,10,500,No,Yes,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
7,2,1,50,1638,2500,5,10,500,Yes,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
7,2,2,50,2434,1500,3,5,500,Yes,No,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
7,2,3,50,1555,1500,5,10,500,No,No,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
7,3,1,51,1212,2500,3,15,700,Yes,No,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
7,3,2,51,2536,1500,5,15,500,No,No,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
7,3,3,51,216,2500,5,15,600,Yes,No,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
7,4,1,52,1329,2500,3,5,600,Yes,Yes,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
7,4,2,52,540,2500,5,15,600,Yes,No,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
7,4,3,52,2258,2000,5,10,700,No,No,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
7,5,1,53,1373,2000,3,15,700,Yes,Yes,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
7,5,2,53,66,2500,1,10,700,Yes,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
7,5,3,53,1180,1500,1,15,600,Yes,No,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
7,6,1,54,1888,1500,5,15,500,No,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
7,6,2,54,1732,1500,3,5,600,No,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
7,6,3,54,581,2000,3,10,500,No,No,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
7,7,1,55,360,2500,5,5,600,Yes,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
7,7,2,55,457,1500,5,15,600,No,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
7,7,3,55,2508,2500,3,15,700,Yes,No,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
7,8,1,56,1671,2500,3,15,600,Yes,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
7,8,2,56,1099,1500,1,15,600,No,Yes,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
7,8,3,56,376,1500,5,15,600,Yes,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
8,1,1,57,57,2500,1,5,700,Yes,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
8,1,2,57,1508,2000,3,15,600,Yes,No,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
8,1,3,57,2157,2500,3,15,600,Yes,No,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
8,2,1,58,67,1500,3,10,700,Yes,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
8,2,2,58,1772,2000,5,10,700,No,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
8,2,3,58,1736,2000,5,5,600,No,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
8,3,1,59,108,2500,5,15,500,No,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
8,3,2,59,1448,2000,5,10,700,No,Yes,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
8,3,3,59,1445,2000,3,10,700,No,Yes,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
8,4,1,60,1995,2500,3,15,600,Yes,Yes,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
8,4,2,60,877,1500,3,10,700,Yes,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
8,4,3,60,2320,1500,5,15,600,Yes,Yes,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
8,5,1,61,474,2500,3,10,700,No,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
8,5,2,61,929,2000,1,10,600,No,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
8,5,3,61,950,2000,3,5,700,No,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
8,6,1,62,2563,1500,5,15,600,No,No,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
8,6,2,62,304,1500,5,5,700,No,No,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
8,6,3,62,852,2500,3,10,600,Yes,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
8,7,1,63,1147,1500,3,10,500,Yes,No,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
8,7,2,63,944,2000,5,15,600,No,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
8,7,3,63,1348,1500,5,15,600,Yes,Yes,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
8,8,1,64,2081,2000,1,5,700,No,Yes,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
8,8,2,64,546,2500,3,5,700,Yes,No,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
8,8,3,64,1298,2000,1,5,500,Yes,Yes,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
9,1,1,65,211,1500,3,15,600,Yes,No,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
